Found 1614 results
17525980	Altered functional connectivity of primary visual cortex in early blindness.	Department of Radiology, Xuanwu Hospital of Capital University of Medical Sciences, Beijing, China.
17133390	Altered functional connectivity in early Alzheimer's disease: a resting-state fMRI study.	National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, Beijing, People's Republic of China.
21259381	Functional connectivity in mild traumatic brain injury.	The Mind Research Network, Albuquerque, New Mexico 87106, USA. amayer@mrn.org.
10975887	Slow vasomotor fluctuation in fMRI of anesthetized child brain.	Department of Diagnostic Radiology, Oulu University Hospital, Oulu, Finland. vkivinie@mail.student.oulu.fi
15172056	Controlling the false positive rate in fuzzy clustering using randomization: application to fMRI activation detection.	Control and Intelligent Processing Center of Excellence, Electrical and Computer Engineering Department, Faculty of Engineering, University of Tehran, Tehran, Iran.
21753009	Resting-state neural activity across face-selective cortical regions is behaviorally relevant.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing 100875, China.
23164479	Neural markers of negative symptom outcomes in distributed working memory brain activity of antipsychotic-naive schizophrenia patients.	Danish Research Centre for Magnetic Resonance, Copenhagen University Hospital, Hvidovre, Denmark.
21247256	Reduced negative BOLD responses in the default-mode network and increased self-focus in depression.	Department of Psychiatry, University of Zurich, Zurich, Switzerland. simone.grimm@bli.unizh.ch
21273022	Changes in thalamus connectivity in mild cognitive impairment: evidence from resting state fMRI.	Department of Radiology, Xuanwu Hospital of Capital Medical University, Beijing 100053, PR China.
22460056	Disrupted resting-state functional connectivity of the hippocampus in medication-naïve patients with major depressive disorder.	Department of Psychiatry, First Hospital of Shanxi Medical University, Taiyuan, 030001, People's Republic of China.
20842164	The influence of carbon dioxide on brain activity and metabolism in conscious humans.	Advanced Imaging Research Center, University of Texas Southwestern Medical Center, Dallas, Texas 75390, USA.
21644985	Stress-induced activation of the HPA axis predicts connectivity between subgenual cingulate and salience network during rest in adolescents.	Department of Pediatrics, Wayne State University School of Medicine, Detroit, MI 48202, USA. moriah@wayne.edu
22993265	Dynamic modulation of intrinsic functional connectivity by transcranial direct current stimulation.	Department of Neurology, Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany. sehm@cbs.mpg.de
21910332	[Correlation between the liver meridian and the frontal lobe in depression by needling at taichong (LV3): a resting-state fMRI study].	Faculty of Chinese Medicine and Pharmacy, Chongqing Medical University, Chongqing 400016.
23279179	Resting-state networks in schizophrenia.	Psychotic Disorders & Psychiatric Neuroimaging Programs, Department of Psychiatry, Vanderbilt University School of Medicine, Nashville, TN 37212, USA.
15382248	Effect of prior cognitive state on resting state networks measured with functional connectivity.	Brain Research Institute, Austin Health, Heidelberg West, Australia.
23084083	Age effect on the default mode network, inner thoughts, and cognitive abilities.	INSERM, U1077 Caen, France.
22465841	Evidence for coordinated functional activity within the extended amygdala of non-human and human primates.	Department of Psychiatry, University of Wisconsin-Madison, Madison, WI 53719, USA. oler@wisc.edu
20521082	Group ICA of resting-state data: a comparison.	MR Centre of Excellence, Medical University Vienna, Vienna, Austria. veronika.schoepf@meduniwien.ac.at
20116435	From EEG to BOLD: brain mapping and estimating transfer functions in simultaneous EEG-fMRI acquisitions.	Center of Mathematics, Computation and Cognition, Universidade Federal do ABC, São Paulo, Brazil. joao.sato@ufabc.edu.br
22451353	Perceptual plasticity is mediated by connectivity changes of the medial thalamic nucleus.	Department of Neurology, University of Jena, Germany. carsten.klingner@med.uni-jena.de.
20109975	The role of functional magnetic resonance imaging in the study of brain development, injury, and recovery in the newborn.	Wellcome Trust Centre for Neuroimaging, UCL Institute of Neurology, London, United Kingdom. m.seghier@fil.ion.ucl.ac.uk
22541511	Reliability of the amplitude of low-frequency fluctuations in resting state fMRI in chronic schizophrenia.	Department of Psychiatry, University of New Mexico, Albuquerque, NM, USA. jturner@mrn.org
16404743	Functional connectivity networks are disrupted in left temporal lobe epilepsy.	Brain Research Institute, Austin Health, Heidelberg West, Victoria, Australia.
11746939	Predicting BOLD signal changes as a function of blood volume fraction and resolution.	Department of Physics, Case Western Reserve University, 10900 Euclid Ave, Cleveland, OH 44106-7079, USA. yxc16@po.cwru.edu
18191584	Fisher discriminative analysis of resting-state brain function for attention-deficit/hyperactivity disorder.	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University, Beijing 100875, PR China. czzhu@bnu.edu.cn
22275887	Modular Organization of Functional Network Connectivity in Healthy Controls and Patients with Schizophrenia during the Resting State.	The Mind Research Network Albuquerque, NM, USA.
21616982	Decoding subject-driven cognitive states with whole-brain connectivity patterns.	Functional Imaging in Neuropsychiatric Disorders (FIND) Lab, Department of Neurology and Neurological Sciences, Stanford School of Medicine, Stanford, CA 94305, USA.
23085497	Toward reliable characterization of functional homogeneity in the human brain: preprocessing, scan duration, imaging resolution and computational space.	Laboratory for Functional Connectome and Development, Key Laboratory of Behavioral Science, Magnetic Resonance Imaging Research Center, Institute of Psychology, Chinese Academy of Sciences, Beijing 100101, China. zuoxn@psych.ac.cn
23251669	Regional brain atrophy and functional disconnection in Broca's area in individuals at ultra-high risk for psychosis and schizophrenia.	Clinical Cognitive Neuroscience Center, Neuroscience Institute, Seoul National University-Medical Research Center, Seoul, South Korea.
21778116	Functional network disruption in the degenerative dementias.	Laboratory of Epidemiology, Neuroimaging, and Telemedicine, IRCCS Centro San Giovanni di Dio, Fatebenefratelli, Brescia, Italy.
22835912	Abnormal neural activity of brain regions in treatment-resistant and treatment-sensitive major depressive disorder: a resting-state fMRI study.	Mental Health Institute, the Second Xiangya Hospital, Central South University, Changsha, Hunan 410011, China.
20162320	A method for evaluating dynamic functional network connectivity and task-modulation: application to schizophrenia.	The Mind Research Network, 1101 Yale Boulevard, Albuquerque, NM 87106, USA. usakoglu@mrn.org
19230623	Resting state corticolimbic connectivity abnormalities in unmedicated bipolar disorder and unipolar depression.	Department of Psychiatry, Indiana University School of Medicine, Indianapolis, IN, USA. aanand@iupui.edu
22344934	Visualization of resting-state networks in utero.	Department of Radiology, Division of Neuro- and Musculoskeletal Radiology, Medical University of Vienna, Vienna, Austria. veronika.schoepf@meduniwien.ac.at
15589107	Radial correlation contrast--a functional connectivity MRI contrast to map changes in local neuronal communication.	MRI/MRS Laboratory of the Human Biology Research Center, Department of Medical Biophysics and Nuclear Medicine, Hadassah-Hebrew University Medical Center, Jerusalem 91120, Israel. gadig@hadassah.org.il
22515798	Capturing amplitude changes of low-frequency fluctuations in functional magnetic resonance imaging signal: a pilot acupuncture study on NeiGuan (PC6).	Department of Acupuncture, No. 1 Affiliated Hospital, Henan University of Traditional Chinese Medicine, Zhengzhou, Henan, China.
22216234	Aberrant hippocampal subregion networks associated with the classifications of aMCI subjects: a longitudinal resting-state study.	Medical School of Southeast University, Nanjing, China.
22987751	Task and task-free FMRI reproducibility comparison for motor network identification.	Department of Medical Psychology and Neuropsychology, University of Tilburg, Tilburg, The Netherlands; Department of Neurosurgery, St. Elisabeth Hospital, Tilburg, The Netherlands; Rudolf Magnus Institute of Neuroscience, University Medical Center Utrecht, Utrecht, The Netherlands; Department of Neurology and Neurosurgery, University Medical Center Utrecht, Utrecht, The Netherlands.
19280693	Mapping functional connectivity based on synchronized CMRO2 fluctuations during the resting state.	Neuroimaging Research Branch, National Institute on Drug Abuse, NIH, Baltimore, MD 21224, USA.
20409665	Functional connectivity between task-positive and task-negative brain areas and its relation to working memory performance.	Department of Diagnostic Radiology, Yale School of Medicine, New Haven, CT 06511, USA. michelle.hampson@yale.edu
22394674	Structural connectivity allows for multi-threading during rest: the structure of the cortex leads to efficient alternation between resting state exploratory behavior and default mode processing.	Department of Cognitive Neuroscience, Faculty of Psychology and Neuroscience, Maastricht University, 6201BC Maastricht, The Netherlands. mario.senden@maastrichtuniversity.nl
21975588	Altered functional-structural coupling of large-scale brain networks in idiopathic generalized epilepsy.	Department of Medical Imaging, Jinling Hospital, Nanjing University School of Medicine, Nanjing 210002, PR China.
